"Byrådsavdeling for finans, konkurranse og eierskap",,,,,
"Tjeneste-id","Tjenestebeskrivelse","Tilskuddsmottaker","Forslag 2011","Vedtatt budsjett 2010","Endring"
28530," Div. tilskudd","17. mai-komiteen i Fana",50000,50000,0
,,"Dyrebeskyttelsen Bergen",100000,100000,0
,,"Dyrebeskyttelsen Hordaland",28000,28000,0
,,"Human- Etisk Forbund, støtte til leie av lokaler til borgerlig konfirmasjon",100000,100000,0
,,"Jussformidlingen",223900,223900,0
,,"Røde kors hjelpekorps",22000,22000,0
,,"Sommerstell av 1000-årsstedet i Fana",50000,50000,0
,,"Til feiring av 17. Mai",176000,176000,0
"Totalt",,,749900,749900,0
,,,,,
"Byrådsavdeling for barnehage og skole",,,,,
"Tjeneste-id","Tjenestebeskrivelse","Tilskuddsmottaker","Forslag 2011","Vedtatt budsjett 2010","Endring"
20220," Vanlig grunnskoleundervisning","Kulturbilletten",1550000,1550000,0
,,"Leksehjelp",0,1800000,-1800000
,,"Private skoler",700000,700000,0
,,"Rudolf Steinerskolen kapitaltilskudd",516000,540000,-24000
,,"Sommerviten",1250000,1250000,0
,,"Tilskudd Akvariet i Bergen",250000,250000,0
,,"Tilskudd Bergen Vitensenter",1000000,1000000,0
,,"Tilskudd til familieveiledningsprogrammet COPE",250000,250000,0
,,"Tilskudd til private skoler -skolebygg",250000,250000,0
,,"Ungt entreprenørskap",300000,300000,0
,,"Nærmiljøpakke - inkl. søknad om tilskudd",2800000,3800000,-1000000
21510," SFO basistilbud","Tilskudd private SFO",1800000,1800000,0
"Totalt",,,10666000,13490000,-2824000
,,,,,
"Byrådsavdeling for byutvikling, klima og miljø",,,,,
"Tjeneste-id","Tjenestebeskrivelse","Tilskuddsmottaker","Forslag 2011","Vedtatt budsjett 2010","Endring"
30130," Grøntfaglig planlegging","Aboretet",389200,383100,6100
,,"Andre",76800,75600,1200
,,"Bergen turlag",60400,59400,1000
32910," Landbruk","Skogkultur",221000,217500,3500
,,"Tilskudd disp. av Landbruksnemd",143700,141400,2300
,,"Tilskudd til privat skogsvei",193500,190500,3000
36010," Fiske, fangst og viltstell","Fiske, Fangst og Vilt-Jegerprøver-Ettersøk",22100,21800,300
36500," Kulturminnevern","Andre",64900,63900,1000
,,"Stiftelsen Bryggen",1096500,1079200,17300
"Totalt",,,2268100,2232400,35700
,,,,,
"Byrådsavdeling for næring og samferdsel",,,,,
"Tjeneste-id","Tjenestebeskrivelse","Tilskuddsmottaker","Forslag 2011","Vedtatt budsjett 2010","Endring"
32550," Andre næringsformål","Business Region Bergen A/S *",9144000,10000000,-856000
,,"Business Region Bergen A/S - energisektor",530400,580000,-49600
,,"Business Region Bergen A/S - etablerertjenesten",839400,918000,-78600
,,"Bergen Reiselivslag",2880400,3150000,-269600
,,"Fiskeriforum Vest",457200,500000,-42800
,,"HOG energi",91400,100000,-8600
,,"Maritime Bergen",228600,250000,-21400
,,"Utdanning i Bergen",502900,550000,-47100
"Totalt",,,14674300,16048000,-1373700
"* Bergen kommune vil gå i drøftelser med BRB","kommunene om aksjonæravtalen.",,,,
,,,,,
"Byrådsavdeling for helse og inkludering",,,,,
"Mottakere av tilskudd fra Byrådsavdeling for helse og inkludering i 2010 ble bedt om å søke på nytt for budsjettåret 2011 innen 28. mai 2010. Organisasjoner som ikke har søkt innen fristen er foreslått nullstilt i budsjettforslaget",,,,,
,,,,,
"Tjeneste-id","Tjenestebeskrivelse","Tilskuddsmottaker","Forslag 2011","Vedtatt budsjett 2010","Endring"
23350," Forebyggende arbeid helse og sosial","MSO - Medisinernes seksualopplysning",0,46000,-46000
,,,,,
23420," Dagsenter","Dagsenteret for yngre fysisk funksjonshemmede i Bergen",1420400,1398000,22400
,,,,,
23470," Andre velferdstiltak","2gether - Samarbeidsprosjekt Vitalitetssenteret og Det Felles Innvandrerråd",816000,816000,0
,,"Aksjonskomiteen Kamp for de eldre",128000,128000,0
,,"Amalie Skrams hus",2594000,2594000,0
,,"Bergen Døvesenter",476000,476000,0
,,"Fontenehuset Bergen",1296000,1296000,0
,,"Foreningen Norges døvblinde",70000,70000,0
,,"Foreninger og lag - tilskudd fordelt etter søknad",791000,791000,0
,,"Frivillighetssentraler",809000,809000,0
,,"Funksjonshemmedes fellesorganisasjon (FFO) Bergen",165700,165700,0
,,"Hordaland Idrettskrets/Prosjekt Treningskontakter",400000,153000,247000
,,"Hordaland Røde Kors - VOKT (Volds- og konfliktforebyggende tjeneste)",0,107000,-107000
,,"Informasjonssenteret Hieronimus",100000,100000,0
,,"Kirkens bymisjon - Kvinnekafe og Ta Vare",318000,318000,0
,,"Kirkens bymisjon - Nærmiljøarbeidet ADA (utskilling av Møtestedet som egen post under tjeneste 24310, se nedenfor)",2787000,3262000,-475000
,,"Kirkens bymisjon - reduksjon i samlet tilskudd til Kvinnekafe, Ta Vare og ADA",-200000,,-200000
,,"Kirkens SOS i Bjørgvin",884000,870000,14000
,,"Kirkens SOS VIVAT-kurs",0,50000,-50000
,,"Kristent Interkulturelt Arbeid (KIA) - Bjørgvin",67900,67900,0
,,"Landsforeningen for hjerte- og lungesyke - Bergen",141000,141000,0
,,"Landsforeningen for homofil og lesbisk frigjøring i Bergen",0,160000,-160000
,,"Landsforeningen for pårørende innen psykiatri LPP Bergen",281000,281000,0
,,"LEVE - forening for etterlatte etter selvmord",166000,166000,0
,,"LISA - Humanetisk forbund",325200,325200,0
,,"Mental helse Bergen",644100,634000,10100
,,"New Page - overført til tjenestekjøp",0,320000,-320000
,,"Norges Blindeforbund i Hordaland",160000,160000,0
,,"Norges handikapforbund, Region Sørvest",150000,150000,0
